code,category,name,uri1,uri2,uri3,uri4,uri5,eiri1,eiri2,eiri3,eiri4,eiri5,kei1,kei2,kei3,kei4,kei5,uri2_1,uri2_2,uri2_3,uri2_4,uri2_5,eiri2_1,eiri2_2,eiri2_3,eiri2_4,eiri2_5,kei2_1,kei2_2,kei2_3,kei2_4,kei2_5,dividend
1419,不動産・住宅,タマホーム,"186,874","209,207","218,092","240,760","256,065","7,366","9,873","10,999","11,893","13,264","6,955","9,754","11,093","12,346","13,477","82,856","99,263","98,634","115,104","125,297","3,012","4,113","4,237","6,016","6,764","3,058","3,988","4,206","6,247","6,930",170.0
1420,不動産・住宅,サンヨーホームズ,"53,888","56,351","53,487","51,123","40,970","1,434",412,782,548,－149,"1,544",415,872,545,－191,"23,782","16,235","26,847","16,822","17,641",143,"－1,451",328,－894,－549,109,"－1,467",339,－906,－573,25.0
1429,不動産・住宅,日本アクア,"19,417","21,366","21,872","23,903","25,670",766,"1,909","1,896","1,412","2,329",764,"1,909","1,911","1,429","2,359","10,003","9,989","10,712","11,742","13,158",722,773,331,916,"1,380",720,783,335,936,"1,400",30.0
1430,建設・土木,ファーストコーポレーション,"19,015","23,418","20,919","30,178","25,543","1,877","1,342","1,666","1,919","1,983","1,874","1,297","1,608","1,891","1,979","8,944","6,774","7,670","14,560","10,177",944,224,250,806,652,939,222,224,802,641,35.0
1433,建設・土木,ベステラ,"4,927","3,436","3,682","5,966","5,458",497,93,124,488,－215,495,97,212,721,－94,"1,907","1,636","2,335","2,533","3,328",153,11,161,58,－61,153,17,273,128,－9,10.0
1435,不動産・住宅,Ｒｏｂｏｔ　Ｈｏｍｅ,"79,149","18,828","6,147","4,090","5,421",721,"－9,671",－664,299,645,507,"－10,122",－694,355,664,"14,273","4,030","2,119","2,392","3,763","－6,502",－492,239,225,426,"－6,885",－529,266,259,420,1.0
1446,不動産・住宅,キャンディル,"13,167","12,264","11,220","11,268","12,309",465,421,63,337,452,453,429,36,303,441,"6,827","6,617","5,926","5,836","6,344",353,324,168,212,338,353,290,161,179,333,3.0
1514,鉱業・エネルギー開発,住石ホールディングス,"19,733","16,679","9,781","12,405","39,893",164,"1,276",－63,"2,343","3,840","2,129","1,262",－33,"2,356","3,719","7,990","4,633","3,817","24,544","15,612",902,－49,568,728,"5,533",889,－59,553,702,"5,523",7.5
1515,鉱業・エネルギー開発,日鉄鉱業,"123,372","117,502","119,159","149,082","164,020","7,479","7,576","8,726","15,715","13,632","7,356","8,012","9,629","16,605","13,204","58,869","55,896","71,074","81,048","82,354","4,252","3,641","8,821","9,077","6,573","4,589","4,610","9,387","9,616","7,108",66.0
1518,鉱業・エネルギー開発,三井松島ホールディングス,"75,702","66,596","57,378","46,592","80,015","5,201","2,741","1,946","8,417","35,789","5,910","2,995","3,020","8,595","35,933","32,509","29,248","21,409","33,437","39,628","1,388",985,"2,669","11,879","16,593","1,506","1,881","2,875","12,469","17,329",40.0
1605,鉱業・エネルギー開発,ＩＮＰＥＸ,"971,388","1,000,005","771,046","1,244,369","2,324,660","474,281","498,641","248,471","590,657","1,246,408","519,278","511,088","257,335","657,627","1,438,242","575,269","391,683","498,397","1,098,476","1,078,789","280,715","123,799","223,673","584,548","570,534","271,104","149,276","219,845","626,327","696,485",37.0
1662,鉱業・エネルギー開発,石油資源開発,"267,980","318,822","240,078","249,140","336,492","2,313","14,283","4,192","19,809","62,085","12,523","32,635","10,001","43,674","83,130","162,346","98,127","118,507","120,708","150,708","7,730","－6,271","9,540","19,304","28,501","13,636","－6,837","19,349","43,084","39,135",100.0
1663,鉱業・エネルギー開発,Ｋ＆Ｏエナジーグループ,"64,765","65,133","58,452","66,070","106,200","2,790","3,330","3,625","3,937","7,304","3,256","3,635","4,050","4,423","7,931","34,032","32,164","30,475","49,028","50,392","2,736","2,955","2,704","3,914","5,180","2,883","3,162","2,921","4,213","5,615",21.0
1712,建設・土木,ダイセキ環境ソリューション,"14,193","14,048","14,906","17,082","16,411",898,"1,237","1,206","2,102","1,373",904,"1,296","1,241","2,112","1,412","7,031","7,406","9,099","7,358","13,632",641,458,"1,293",456,"1,741",677,475,"1,299",466,"1,754",5.0
1716,建設・土木,第一カッター興業,"14,871","17,440","19,337","20,949","22,164","1,760","2,296","2,760","2,502","2,631","1,843","2,482","2,936","2,704","2,865","7,437","8,895","9,285","11,217","11,312",958,"1,266","1,306","1,656","1,455","1,009","1,358","1,415","1,760","1,554",29.0
1717,不動産・住宅,明豊ファシリティワークス,"5,598","4,353","4,240","4,260","4,761",774,902,909,865,958,780,906,910,865,960,"2,094","1,785","2,017","2,175","2,409",388,277,403,462,545,392,279,404,463,546,31.5
1719,建設・土木,安藤ハザマ,"359,971","378,135","352,146","340,293","372,146","23,692","24,699","27,356","26,600","19,853","22,495","23,983","25,890","25,838","19,608","176,209","181,099","158,902","164,303","179,738","11,820","13,856","12,440","7,946","5,230","11,471","12,654","11,999","8,737","5,617",30.0
1720,建設・土木,東急建設,"331,437","322,170","231,483","258,083","288,867","21,987","20,315","3,549","－6,078","5,107","22,932","21,969","4,891","－5,132","5,020","183,415","95,423","111,614","128,842","134,682","16,320","1,192","－7,152",166,"2,043","16,972","1,680","－7,151",294,"2,843",18.0
1721,建設・土木,コムシスホールディングス,"481,783","560,882","563,252","589,028","563,295","35,267","38,953","41,572","42,963","32,104","36,071","40,064","42,941","44,036","30,934","243,024","234,262","253,746","230,867","244,889","12,959","12,402","18,079","9,474","14,167","13,631","12,934","18,711","10,209","14,883",50.0
1726,建設・土木,ビーアールホールディングス,"27,333","34,775","38,797","35,899","36,022","1,386","2,158","3,045","2,289","1,636","1,415","2,097","2,954","2,296","1,624","13,780","17,860","17,551","16,516","18,631",407,995,"1,080",353,570,399,985,"1,093",364,551,6.0
1762,建設・土木,高松コンストラクショングループ,"249,720","282,366","283,080","263,907","282,495","12,441","14,720","12,198","11,225","12,038","12,425","14,355","12,112","11,490","11,768","129,370","136,674","125,980","128,807","143,298","5,682","3,599","3,128","2,830","3,339","5,379","3,610","3,148","2,971","3,430",27.0
1766,建設・土木,東建コーポレーション,"328,524","323,386","309,809","311,586","316,849","15,606","12,819","15,562","15,039","9,738","16,057","13,264","16,499","15,361","10,091","158,100","154,346","150,736","155,003","166,435","5,029","6,795","7,224","6,014","5,553","5,200","7,489","7,368","6,184","5,688",250.0
1768,建設・土木,ソネック,"14,943","15,856","16,298","17,158","18,039",857,806,"1,212","1,107",940,913,863,"1,269","1,164","1,003","7,553","7,286","6,864","8,691","8,459",398,384,460,542,220,428,412,488,574,254,30.0
1780,建設・土木,ヤマウラ,"32,305","23,769","24,829","27,946","31,381","1,913","1,399","1,394","2,208","3,076","2,043","1,517",983,"1,624","1,965","11,667","10,319","11,284","12,555","20,740",703,755,"1,175","1,139","2,748",767,722,"1,016",729,"2,726",2.5
1786,建設・土木,オリエンタル白石,-,-,-,"60,726","61,480",-,-,-,"5,308","5,214",-,-,-,"5,460","5,427",-,-,"29,241","26,203","30,742",-,-,"2,301","1,983","2,390",-,-,"2,370","2,115","2,453",6.5
1801,建設・土木,大成建設,"1,650,877","1,751,330","1,480,141","1,543,240","1,642,712","153,323","167,755","130,516","96,077","54,740","157,936","173,347","135,937","103,247","63,125","766,414","594,074","628,135","718,541","738,133","59,852","44,397","24,751","22,413","13,069","62,460","47,279","28,334","27,728","18,306",65.0
1802,建設・土木,大林組,"2,039,685","2,073,043","1,766,893","1,922,884","1,983,888","155,480","152,871","123,161","41,051","93,800","163,054","159,005","128,784","49,844","100,802","965,290","852,681","899,160","924,391","1,081,360","72,764","54,871","19,298","41,785","30,843","76,751","57,127","23,146","48,659","38,009",21.0
1803,建設・土木,清水建設,"1,664,960","1,698,292","1,456,473","1,482,961","1,933,814","129,724","133,894","100,151","45,145","54,647","133,957","137,986","105,465","50,419","56,546","834,850","683,276","645,601","825,921","936,878","62,379","46,034","10,473","11,244",165,"65,272","48,997","12,807","14,264","5,155",13.5
1805,建設・土木,飛島建設,"128,866","134,859","117,295","117,665","125,941","7,220","7,848","3,995","4,575","4,146","7,019","7,382","3,673","4,212","3,677","64,065","58,576","55,346","58,732","61,276","3,090","1,907","1,628","1,465","1,424","2,906","1,694","1,516","1,371","1,209",60.0
1808,建設・土木,長谷工コーポレーション,"890,981","846,029","809,438","909,708","1,027,277","98,430","85,925","72,909","82,702","90,162","100,369","85,253","71,832","81,871","88,265","414,234","369,912","414,824","446,448","523,006","43,635","30,940","41,424","37,704","43,276","43,444","30,039","40,945","36,569","43,260",40.0
1810,建設・土木,松井建設,"92,471","94,422","87,579","82,468","88,664","4,790","3,487","2,940","2,415","2,268","5,147","3,821","3,289","2,779","2,702","45,005","42,143","38,453","42,189","45,810","1,515","1,579","1,180","1,011",630,"1,706","1,769","1,377","1,225",910,13.0
1811,建設・土木,銭高組,"128,130","132,957","105,792","101,903","107,635","5,869","5,951","4,603","2,247","1,526","6,961","6,924","5,637","3,425","2,873","57,320","58,603","44,729","50,228","54,934","2,407","3,056","1,155","1,023","2,264","2,847","3,529","1,731","2,262","3,226",30.0
1812,建設・土木,鹿島,"1,974,269","2,010,751","1,907,176","2,079,695","2,391,579","142,622","131,987","127,298","123,382","123,526","162,901","146,645","139,729","152,103","156,731","947,198","912,604","956,119","1,137,472","1,305,802","59,741","72,014","56,444","64,909","66,439","65,069","79,356","65,458","79,155","72,856",35.0
1813,建設・土木,不動テトラ,"67,081","71,200","72,308","66,778","70,466","3,582","4,497","4,518","3,297","3,602","3,643","4,409","4,718","3,381","3,458","33,361","30,938","32,309","29,929","33,424","2,332","1,937","1,401",913,"1,463","2,332","1,943","1,427","1,049","1,660",60.0
1814,建設・土木,大末建設,"64,864","65,167","56,490","69,645","71,834","3,899","2,763","2,214","2,708","1,887","3,882","2,770","2,219","2,712","1,939","32,225","27,311","32,713","38,818","36,252","1,380",993,"1,124",931,233,"1,388","1,005","1,128",957,270,35.0
1815,建設・土木,鉄建,"174,670","192,842","182,020","151,551","160,743","7,573","5,815","6,245","5,247","1,233","6,850","6,053","6,489","6,224",965,"84,032","87,169","69,352","72,815","85,053","3,428","3,311","2,610",790,－522,"3,474","3,333","2,709","1,790",753,80.0
1820,建設・土木,西松建設,"349,318","391,621","336,241","323,754","339,757","24,928","25,313","20,950","23,540","12,615","25,985","25,838","21,561","23,497","13,176","169,548","161,703","152,960","157,273","190,964","9,773","7,683","10,130","9,706","9,911","9,930","7,982","10,580","10,558","10,656",80.0
1821,建設・土木,三井住友建設,"448,758","472,402","421,619","403,275","458,622","29,217","24,765","15,584","－7,459","－18,759","28,862","23,884","13,063","－8,340","－18,483","211,006","187,759","177,953","210,555","230,639","12,171","7,720","－15,179","1,140","8,812","12,025","6,368","－15,245","1,062","8,353",14.0
1822,建設・土木,大豊建設,"150,777","162,811","161,697","156,520","156,050","9,166","8,511","9,066","8,857","5,064","9,191","8,578","9,420","9,316","5,054","72,354","74,993","68,053","69,843","76,265","3,019","2,508","1,867","2,262",911,"2,966","2,516","1,918","2,517","1,732",230.0
1826,建設・土木,佐田建設,"28,828","36,494","31,689","26,660","30,121",670,"1,538","1,006",741,"1,823",678,"1,562","1,013",739,"1,833","15,152","14,038","11,628","14,267","10,921",208,358,103,359,－110,220,364,99,350,－102,26.0
1827,建設・土木,ナカノフドー建設,"117,152","116,838","115,994","96,470","114,459","5,476","3,779","1,555",－840,"2,859","5,954","4,070","1,750",－627,"3,134","50,726","49,598","40,532","56,429","51,242","1,199",982,"－1,498","2,203",711,"1,328","1,048","－1,437","2,450","1,089",13.0
1833,建設・土木,奥村組,"220,884","226,371","220,712","242,458","249,442","13,716","11,516","12,880","12,647","11,847","15,098","13,283","14,779","14,012","12,908","106,295","101,273","112,310","111,143","135,660","3,292","2,716","6,714","3,681","6,455","4,051","3,717","7,448","4,506","7,180",77.0
1835,建設・土木,東鉄工業,"134,739","146,034","132,919","114,718","124,661","12,216","14,858","13,915","7,261","9,070","12,704","15,347","14,293","7,576","9,487","55,721","56,210","45,414","48,935","56,649","4,237","5,755","1,836","2,420","2,953","4,522","6,004","2,046","2,622","3,181",47.0
1847,建設・土木,イチケン,"93,824","86,513","88,624","83,776","88,059","4,618","4,381","4,758","4,674","2,667","4,590","4,241","4,673","4,636","2,585","40,852","44,325","37,911","44,534","49,487","2,088","2,265","2,292","1,666","1,937","2,084","2,230","2,285","1,642","1,894",40.0
1848,建設・土木,富士ピー・エス,"27,863","27,979","27,693","27,301","26,843",917,935,"1,767","1,048",221,887,925,"1,730","1,111",226,"13,685","13,977","13,310","13,125","11,877",327,845,764,214,－176,317,822,778,228,－178,9.0
1852,建設・土木,浅沼組,"135,713","141,472","138,934","135,478","144,436","5,700","6,601","5,291","4,835","5,691","5,616","6,509","5,364","4,904","5,918","68,665","63,389","59,689","66,888","70,040","3,371","2,160","1,511","2,165","1,585","3,280","2,104","1,470","2,540","1,802",191.0
1860,建設・土木,戸田建設,"510,436","518,683","507,134","501,509","547,155","34,518","35,243","27,697","24,385","14,135","37,493","38,272","30,363","28,111","19,039","235,365","214,514","235,574","239,805","230,329","15,544","6,105","8,598",467,"3,180","16,911","7,419","10,701","3,749","8,243",14.0
1861,建設・土木,熊谷組,"389,058","436,151","450,232","425,216","403,502","26,464","25,440","28,069","22,743","11,483","26,553","25,718","28,400","23,732","12,236","200,065","206,884","189,555","185,844","196,257","9,619","11,841","8,708","2,830","3,768","9,869","12,033","9,130","3,511","3,996",130.0
1866,建設・土木,北野建設,"77,945","61,951","75,265","60,103","85,277","4,618","3,043","2,770","2,394","3,931","4,712","3,207","2,952","2,864","4,358","27,152","33,818","25,901","34,419","38,616","1,090",959,231,"1,506","1,510","1,166","1,050",453,"2,047","1,785",110.0
1867,建設・土木,植木組,"44,568","51,938","48,847","47,678","48,936","1,659","2,360","2,545","2,293","2,044","1,711","2,323","2,641","2,375","2,135","21,798","20,228","21,607","21,383","23,729",777,"1,052",817,486,314,813,"1,107",848,533,335,55.0
1870,建設・土木,矢作建設工業,"92,754","90,129","106,615","93,090","111,110","7,705","7,764","7,362","6,169","7,212","7,747","7,829","7,445","6,174","7,259","37,823","46,247","46,852","41,495","52,158","2,287","2,975","2,184","1,738","1,487","2,357","3,058","2,211","1,775","1,564",30.0
1871,建設・土木,ピーエス三菱,"110,279","105,744","117,219","109,639","109,327","8,747","4,881","8,396","6,618","5,715","8,789","4,897","8,422","6,647","5,629","47,758","51,883","53,751","47,540","57,669","2,289","2,879","3,987","2,298","3,310","2,249","2,849","4,005","2,287","3,220",17.0
1873,不動産・住宅,日本ハウスホールディングス,"48,748","38,932","37,149","42,778","39,103","4,065","1,620","2,707","2,523",973,"3,881","1,526","2,657","2,329",684,"18,562","16,246","14,443","15,494","13,235",－482,－887,－725,－583,"－1,853",－550,－975,－753,－655,"－1,987",6.0
1878,不動産・住宅,大東建託,"1,591,178","1,586,293","1,488,915","1,583,003","1,657,626","127,047","127,956","86,738","99,594","100,000","132,240","133,028","90,607","103,671","103,898","770,077","734,942","781,495","805,072","837,124","60,008","51,758","62,479","51,587","52,030","62,545","54,053","64,281","53,274","54,498",267.0
1879,建設・土木,新日本建設,"103,250","112,542","101,785","107,092","113,725","14,665","14,501","13,904","15,549","17,186","14,542","14,601","13,932","15,583","17,225","49,164","38,838","41,158","45,008","49,548","6,121","4,441","5,049","6,148","6,582","6,213","4,453","5,067","6,169","6,659",15.0
1882,建設・土木,東亜道路工業,"103,676","109,123","111,801","112,118","118,721","3,653","4,753","7,165","5,516","4,736","3,728","4,869","7,258","5,590","4,957","41,047","38,969","46,105","50,324","50,824",－38,963,906,－52,629,39,"1,045",995,81,796,90.0
1884,建設・土木,日本道路,"146,294","148,699","157,796","156,379","155,353","7,764","7,515","10,776","8,202","5,695","8,160","7,853","11,293","8,582","5,920","66,307","70,411","71,612","71,709","74,295","1,947","3,904","2,951","1,092","2,817","2,209","4,184","3,160","1,264","2,910",100.0
1885,建設・土木,東亜建設工業,"173,692","190,278","189,712","219,814","213,569","3,980","7,957","8,714","9,874","6,555","3,943","7,604","9,247","10,138","6,614","83,876","82,639","105,818","94,141","130,185","3,511","3,294","5,056",529,"7,482","3,279","3,765","5,073",806,"7,176",90.0
1887,建設・土木,日本国土開発,"119,525","118,529","117,803","126,790","154,202","14,576","10,367","10,564","7,957","4,487","14,406","9,783","10,585","8,398","4,639","61,495","61,003","60,518","58,138","65,068","11,326","7,438","5,292","2,541","1,025","11,405","7,616","5,294","3,078","1,058",10.0
1888,建設・土木,若築建設,"99,675","107,830","89,822","89,164","84,004","4,607","5,039","2,917","6,834","6,236","4,440","4,746","3,011","6,781","6,546","53,556","38,946","42,815","40,872","46,356","2,570",－201,"3,142","3,354","2,755","2,487",－224,"3,102","3,723","3,472",100.0
1890,建設・土木,東洋建設,"163,860","174,805","172,976","152,524","168,351","7,815","9,268","14,259","9,616","8,995","8,069","9,168","14,103","9,139","8,551","86,364","75,853","73,895","73,481","88,764","4,857","4,044","3,087","2,399","4,190","4,753","3,766","3,026","2,381","3,668",25.0
1893,建設・土木,五洋建設,"541,949","573,842","471,058","458,231","502,206","29,232","33,161","30,460","15,939","4,119","26,569","32,545","30,545","15,659","1,415","295,224","227,356","210,138","227,669","278,561","17,172","14,968","11,820","6,672","13,339","17,359","15,081","11,650","7,015","12,962",24.0
1898,建設・土木,世紀東急工業,"74,036","78,631","90,025","85,132","92,414","5,564","5,961","8,470","4,418","2,669","5,584","6,009","8,395","4,358","2,647","31,139","34,950","38,663","41,892","39,634","1,438","2,236","1,753",246,993,"1,433","2,230","1,737",246,"1,007",45.0
1899,建設・土木,福田組,"173,928","182,088","185,764","179,846","154,358","8,055","8,055","8,905","8,891","5,208","8,410","8,350","9,038","9,147","5,451","76,043","84,158","86,293","69,517","69,890","2,285","4,177","5,545","2,584","1,535","2,459","4,263","5,677","2,725","1,703",110.0
1909,情報機器・通信機器,日本ドライケミカル,"36,304","39,846","43,073","44,793","50,224","1,702","2,974","3,396","2,827","3,858","1,739","2,784","3,177","2,777","3,950","17,832","19,009","19,973","21,084","24,785",827,880,949,"1,215","2,146",842,847,773,"1,296","2,482",15.0
1911,不動産・住宅,住友林業,"1,308,893","1,104,094","839,881","1,385,930","1,669,707","49,247","51,377","47,462","113,651","158,253","51,436","58,824","51,293","137,751","194,994","529,748","525,947","632,875","782,784","816,483","24,992","26,865","48,200","72,955","65,229","25,689","28,725","51,700","93,558","67,366",65.0
1914,建設・土木,日本基礎技術,"24,481","24,124","22,854","22,111","23,908",468,"1,032",568,751,778,638,"1,207",744,963,"1,008","10,418","10,419","10,443","11,363","10,640",518,300,153,251,423,645,393,288,498,649,13.0
1921,建設・土木,巴コーポレーション,"32,584","31,683","23,222","25,301","35,982","3,195","2,622","2,048","3,497","3,782","3,423","2,800","2,410","3,931","4,313","10,826","9,765","11,886","13,774","16,598",892,587,"1,996","1,187","1,342",997,844,"2,211","1,507","1,816",14.0
1925,不動産・住宅,大和ハウス工業,"4,143,505","4,380,209","4,126,769","4,439,536","4,908,199","372,195","381,114","357,121","383,256","465,370","359,462","367,669","337,830","376,246","456,012","2,179,389","1,966,448","2,042,182","2,261,329","2,544,827","209,324","156,024","160,361","154,639","191,163","207,910","150,466","161,670","153,024","188,115",63.0
1926,建設・土木,ライト工業,"102,825","106,210","108,209","109,504","114,974","9,702","9,874","11,727","13,236","12,785","10,124","9,582","12,136","13,976","13,310","48,000","48,522","49,526","51,799","55,075","3,698","4,511","5,360","4,995","5,262","3,990","4,634","5,628","5,315","5,370",61.0
1928,不動産・住宅,積水ハウス,"2,160,316","2,415,186","2,446,904","2,589,579","2,928,835","189,223","205,256","186,519","230,160","261,489","195,190","213,905","184,697","230,094","257,272","1,207,835","1,167,986","1,223,605","1,423,642","1,462,443","113,041","92,644","109,693","146,428","124,918","116,554","90,671","111,370","147,651","125,239",59.0
1929,建設・土木,日特建設,"63,264","65,516","67,955","66,076","72,918","3,970","4,903","5,358","4,523","5,451","4,004","4,880","5,419","4,626","5,462","28,510","30,767","29,811","32,752","34,977","1,834","2,047","1,374","2,067","1,566","1,836","2,081","1,416","2,137","1,630",22.0
1930,建設・土木,北陸電気工事,"43,727","49,932","44,888","45,928","44,846","4,069","4,766","3,853","3,157","2,356","4,181","4,836","4,075","3,327","2,531","22,050","21,444","20,636","20,588","20,628","1,474","1,495",914,308,361,"1,550","1,659",999,395,468,18.0
1934,建設・土木,ユアテック,"204,054","202,760","197,092","225,317","227,366","9,394","6,762","8,484","9,492","9,538","10,176","7,338","9,172","10,040","10,501","90,266","81,150","98,719","100,208","105,807",524,5,398,834,"1,725",791,249,691,"1,837","2,892",14.0
1938,建設・土木,日本リーテック,"57,524","61,588","55,200","53,231","53,745","4,171","4,529","4,220","3,068","2,688","4,835","5,150","4,765","3,304","3,081","26,332","22,159","21,059","20,010","21,717",737,"1,267",－439,"－1,055",－149,"1,026","1,626",－325,－927,－36,27.0
1939,建設・土木,四電工,"80,411","82,728","89,629","92,648","89,120","2,938","3,418","5,089","5,415","4,970","3,785","3,906","5,563","6,145","5,567","34,908","39,659","45,491","38,809","41,024","1,217","2,126","2,920","1,430","3,005","1,472","2,317","3,240","1,689","3,238",60.0
1941,建設・土木,中電工,"153,322","168,888","184,482","190,690","189,032","6,486","8,333","9,482","10,425","8,361","8,921","11,188","11,899","11,959","－1,905","75,073","82,082","77,157","79,515","82,699","2,619","3,269","2,639","1,084","1,479","3,833","4,467","3,315","2,403","1,451",52.0
1942,建設・土木,関電工,"563,550","616,143","556,045","495,567","541,579","30,012","34,693","30,041","30,643","32,748","30,795","35,565","31,043","31,754","34,059","278,993","253,813","220,331","233,693","261,821","15,247","13,448","13,452","13,630","15,745","15,768","14,064","14,010","14,518","16,652",17.0
1944,建設・土木,きんでん,"521,283","585,905","556,273","566,794","609,132","40,354","45,026","42,948","37,087","37,430","42,491","46,727","44,794","39,977","40,243","251,425","241,943","244,144","258,108","270,670","13,163","13,496","11,500","6,599","9,135","14,185","14,251","12,536","8,665","10,964",20.0
1945,建設・土木,東京エネシス,"68,644","66,520","59,514","72,578","79,055","4,822","3,918","4,104","3,158","3,458","5,031","3,899","3,920","3,257","2,770","28,428","25,750","28,281","37,771","41,344",898,"1,590",177,"1,410","1,002","1,013","1,629",216,"1,451","1,728",20.0
1946,建設・土木,トーエネック,"218,984","224,843","215,677","219,617","232,053","11,029","13,307","15,509","14,072","10,287","10,146","12,511","13,726","13,394","8,983","102,867","102,527","100,526","107,608","120,581","5,472","6,593","5,087","4,768","6,908","5,006","6,217","4,589","4,120","6,501",60.0
1949,建設・土木,住友電設,"157,016","172,910","154,053","167,594","175,120","10,952","13,581","11,319","13,005","13,461","11,561","14,201","11,937","13,900","14,394","76,608","70,759","72,850","81,498","79,888","6,399","5,334","4,990","5,307","3,111","6,727","5,660","5,513","5,838","3,628",47.0
1950,建設・土木,日本電設工業,"182,464","198,244","195,695","173,569","172,100","14,851","16,495","14,188","7,454","9,658","15,826","17,680","15,390","8,703","10,903","55,133","59,067","63,683","60,889","71,039","1,621","2,724","－1,539","－1,220",321,"2,110","3,305","－1,084",－634,883,3.0
1951,建設・土木,エクシオグループ,"423,727","524,574","573,339","594,840","627,607","31,716","31,100","36,623","42,380","32,552","33,431","30,669","38,186","45,217","33,771","212,302","224,865","260,939","265,185","265,174","10,766","11,202","17,028","8,550","9,212","10,658","12,239","17,958","11,542","12,450",60.0
1952,建設・土木,新日本空調,"122,389","120,106","107,253","106,718","112,234","3,885","6,409","6,386","6,881","7,124","4,235","6,810","6,676","7,366","7,914","52,209","44,138","41,279","43,952","46,969","1,265","1,393","2,346","2,147","1,415","1,530","1,676","2,633","2,785","1,690",30.0
1959,建設・土木,九電工,"408,143","428,939","391,901","376,563","395,783","36,747","36,022","32,998","33,137","32,083","39,924","38,643","35,906","36,828","35,462","195,870","180,101","158,194","168,522","200,617","13,820","11,244","11,658","10,315","13,692","15,179","12,533","13,579","12,015","15,766",55.0
1961,建設・土木,三機工業,"212,314","207,684","190,067","193,189","190,865","10,637","10,674","7,498","9,112","5,409","11,204","11,224","8,196","9,817","6,247","91,845","80,864","84,070","73,510","89,459","3,191",505,"1,025","－1,260","1,281","3,503",842,"1,310",－751,"1,878",35.0
1963,建設・土木,日揮ホールディングス,"619,241","480,809","433,970","428,401","606,890","23,249","20,234","22,880","20,688","36,699","32,304","22,367","25,506","30,028","50,560","218,354","199,400","217,908","267,209","403,261","7,203","11,508","10,386","18,981","13,007","10,360","11,928","12,607","30,481","25,401",38.0
